"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"Snapc3",4.05676280906916e-76,0.29476022058786,0.323,0.15,8.92122709342399e-72,71.0495754053492,"NO"
"Gm5086",4.17451859413508e-76,2.20044122864882,0.122,0.024,9.18018384036246e-72,71.037148621625,"UP"
"Csnk1g3",4.86928585364516e-76,0.24169233324232,0.351,0.167,1.07080465207511e-71,70.9702897507031,"NO"
"Prkdc",4.92425150712806e-76,0.378708383911331,0.321,0.148,1.08289214893253e-71,70.9654147949498,"NO"
"Wnk2",5.61000698780952e-76,0.919257509103798,0.287,0.134,1.23369663668919e-71,70.9087916192403,"NO"
"Firre",5.84047775620568e-76,0.111786429483672,0.401,0.201,1.28437946336719e-71,70.8913066472177,"NO"
"Gm5089",9.17192713191792e-76,2.3763097705848,0.109,0.017,2.01699849558007e-71,70.6952944257146,"UP"
"Eml2",9.47780846934208e-76,0.604236163347539,0.254,0.105,2.08426486049302e-71,70.681047093366,"NO"
"Mknk1",1.07167789438738e-75,0.934083947904005,0.173,0.053,2.35672685754728e-71,70.6276907488859,"NO"
"Pde3b",1.15324978566934e-75,1.10045657092761,0.18,0.058,2.53611160366545e-71,70.5958316388859,"UP"
"Flrt1",1.16041965609707e-75,1.52327755626033,0.121,0.023,2.55187886572306e-71,70.5931399448398,"UP"
"Zfp438",1.24182182959824e-75,1.0436478049409,0.173,0.053,2.73089038546949e-71,70.5636957315487,"UP"
"AU020206",1.2955584366718e-75,-0.987415535747999,0.179,0.324,2.84906255808496e-71,70.5452980146662,"NO"
"Gm10125",1.37427961489135e-75,1.10789890077649,0.138,0.032,3.02217830110757e-71,70.5196799169318,"UP"
"Reep3",1.37811233210303e-75,0.4639603685734,0.316,0.148,3.03060682952776e-71,70.5184704024124,"NO"
"Mapk8",1.52716905969238e-75,0.643291227028987,0.197,0.067,3.35839747916952e-71,70.4738679047452,"NO"
"Slco2b1",1.77337875485811e-75,2.28029514610254,0.124,0.026,3.89983721980848e-71,70.4089535201567,"UP"
"Pcyt1a",1.85288297867145e-75,0.764638093081356,0.168,0.049,4.07467495839638e-71,70.3899070297228,"NO"
"Tacc1",2.02648591805838e-75,0.418275004021891,0.474,0.272,4.45644518240218e-71,70.3510114312537,"NO"
"Setd2",2.10821190164735e-75,0.128121355111398,0.468,0.249,4.63616879291268e-71,70.3338407606946,"NO"
"Lonrf2",2.36970807652565e-75,1.6361614206661,0.102,0.013,5.21122503108755e-71,70.2830601727266,"UP"
"Cox16",2.57676914980806e-75,0.31761897043478,0.586,0.354,5.66657303734291e-71,70.246679509171,"NO"
"Atf4",2.76888993006558e-75,-2.20100865678665,0.094,0.202,6.08906584520721e-71,70.2154493295987,"DOWN"
"Gnaq",2.87127418731042e-75,0.0705056948274669,0.72,0.439,6.31421906531434e-71,70.1996803547836,"NO"
"Heatr5b",2.96602505771325e-75,0.859011903247242,0.182,0.059,6.5225857044172e-71,70.1855802057178,"NO"
"Lims2",4.9114747320427e-75,1.60002433038506,0.103,0.014,1.08008240832351e-70,69.9665431073697,"UP"
"Gramd1b",5.22411354435275e-75,0.211849376530191,0.467,0.258,1.14883480953861e-70,69.9397424138386,"NO"
"Senp2",6.329340688335e-75,0.287302125859057,0.373,0.187,1.39188531077175e-70,69.8563965484546,"NO"
"Hibch",7.27607068173705e-75,0.999567720836156,0.148,0.038,1.6000807036208e-70,69.7958581121858,"NO"
"Ppib",9.28857745674768e-75,0.699578427329939,0.156,0.042,2.04265106851338e-70,69.689805814455,"NO"
"Ubr1",9.69039800548281e-75,0.226413263516142,0.408,0.209,2.13101542538572e-70,69.6714134066276,"NO"
"Disp3",9.96474178040913e-75,1.99973263556306,0.11,0.018,2.19134636492977e-70,69.6592889722846,"UP"
"Arsb",1.04193644515471e-74,0.69230904198057,0.314,0.153,2.29132243653973e-70,69.6399137922786,"NO"
"Tox2",1.30673905263006e-74,1.41999017580408,0.112,0.019,2.87364985063875e-70,69.5415661510242,"UP"
"Wwox",1.40504507317838e-74,0.50308469732368,0.685,0.479,3.08983462042658e-70,69.5100647650277,"NO"
"Cd300lf",1.45663065727412e-74,-2.13241208938273,0.066,0.168,3.20327647841152e-70,69.4944055752711,"DOWN"
"Scn2a",1.4853361095362e-74,0.700903648240658,0.205,0.073,3.26640263848106e-70,69.4859302822776,"NO"
"Rundc3a",1.58517437276722e-74,0.390464382973698,0.192,0.064,3.48595696315239e-70,69.4576779788958,"NO"
"Cryzl1",1.73557770941119e-74,0.427751194181306,0.261,0.109,3.81670894076615e-70,69.4183109577451,"NO"
"Fbxo3",2.00272535686121e-74,0.521772414517086,0.212,0.077,4.40419333227349e-70,69.356133624919,"NO"
"Acat1",2.08980809942289e-74,0.612184953331887,0.223,0.086,4.59569699144087e-70,69.3376486134222,"NO"
"Gm12185",2.20222548862707e-74,-1.94644804270131,0.065,0.168,4.84291407203979e-70,69.3148932365843,"DOWN"
"Atp2b2",2.71212649404108e-74,0.28408558875974,0.233,0.088,5.96423737304574e-70,69.224445080217,"NO"
