"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Cntd1",-0.0266909702242349,1.46119939473225,-0.0314848413105438,0.975589318842378,0.984385015180551,-6.13009738667,0.984385015180551,0.00683500597485426,"NO"
"Ociad1",-0.390423050824857,5.50182783724951,-1.19774962657736,0.262451391577702,0.38105104744741,-6.13106045860499,0.38105104744741,0.419016840230723,"NO"
"Col14a1",-0.435735062488641,1.99854237462322,-0.636230276515868,0.540908895662412,0.646370063056241,-6.13115064138336,0.646370063056241,0.189518766327776,"NO"
"Cs",-0.414010105001605,6.16035487207088,-1.20644400672428,0.25925108361808,0.377663424350445,-6.13132021896492,0.377663424350445,0.422895073345466,"NO"
"Map2k3os",-0.261342884869304,1.73917910211001,-0.422552017677971,0.682815855491267,0.766687126530848,-6.13136162610848,0.766687126530848,0.115381828935697,"NO"
"Pcm1",0.436748816496127,7.46627985270265,1.151886955716,0.279867117356622,0.399321687766208,-6.13138956113461,0.399321687766208,0.398677101973437,"NO"
"Ciao3",-0.302928260224994,4.16151125345565,-1.10421019171918,0.298940035600697,0.418531631807908,-6.13217442291373,0.418531631807908,0.378271713296799,"NO"
"Wars2",0.35925238408539,5.40428388685904,1.1741161896833,0.271313079102486,0.390435001590827,-6.13246524717908,0.390435001590827,0.408451255768752,"NO"
"Slc14a2",0.209861813284306,1.78813361611067,0.445840738367764,0.666539252070619,0.75429721131733,-6.13260502991256,0.75429721131733,0.122457497894204,"NO"
"AW046200",0.285324655129597,3.01852183050832,0.877903315937804,0.403457377955555,0.522662508487293,-6.13332840873603,0.522662508487293,0.281778651501741,"NO"
"Ldlr",-0.388723463556398,5.17284853655617,-1.18356413550355,0.267741822140996,0.386746186754889,-6.1333367039362,0.386746186754889,0.412573959669899,"NO"
"Limd2",-0.353448768253567,2.57384857605464,-0.812890953975553,0.437838071358366,0.554796188738488,-6.13335413374076,0.554796188738488,0.255866531044191,"NO"
"Ptcd2",0.319589412852042,3.63468859577152,0.982519176536131,0.352228558716247,0.472967794164221,-6.13375001132535,0.472967794164221,0.32516843070607,"NO"
"Taf1d",-0.594329223132081,6.67756508158554,-1.20088366569613,0.261294097530033,0.379896652064182,-6.13431292684801,0.379896652064182,0.420334533758937,"NO"
"Polr3k",-0.330936610454999,3.75963943936921,-1.03538938190687,0.328252936396302,0.447746451372222,-6.13436032476469,0.447746451372222,0.348967847479087,"NO"
"Synm",0.403251617583654,3.78691304234539,1.00388388687437,0.342386333499112,0.462813776326091,-6.1343777916032,0.462813776326091,0.334593722120125,"NO"
"AC132307.1",0.293066344608535,2.74303378440504,0.799037592709613,0.445415097998463,0.56170398888275,-6.13456978671147,0.56170398888275,0.250492492015586,"NO"
"Slc38a10",-0.326591047200069,5.47538771989886,-1.19261727040613,0.264355597475602,0.383022099156415,-6.13496552598827,0.383022099156415,0.416776167898723,"NO"
"Gm42067",0.207721747144932,1.87599082832513,0.46178617767139,0.655500069859485,0.74441823168596,-6.13500012643239,0.74441823168596,0.128182999023743,"NO"
"Pcdhgc5",-0.326306661106153,3.3751707520899,-0.962185866964837,0.361790228413154,0.482067905837651,-6.13531654724938,0.482067905837651,0.316891781152501,"NO"
"Usp28",0.311280406540768,5.14057853835099,1.16446834183922,0.274999463617023,0.394191172787684,-6.13546835482102,0.394191172787684,0.404293105202497,"NO"
